"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"15515","Car, truck, or van","Regular high school diploma",15,66200,850,"04500"
"15516","Railroad","Bachelor's degree",80,175500,3200,"01400"
"15517","Subway or elevated","Bachelor's degree",30,2e+05,2300,"03302"
"15518","Car, truck, or van","Bachelor's degree",10,71900,1900,"00505"
"15519","Car, truck, or van","12th grade - no diploma",30,71900,1900,"00505"
"15520","Car, truck, or van","1 or more years of college credit, no degree",20,71900,1900,"00505"
"15521","Car, truck, or van","Regular high school diploma",60,71900,1900,"00505"
"15522","Car, truck, or van","Bachelor's degree",5,152200,60,"01902"
"15523","Car, truck, or van","Regular high school diploma",35,45430,1500,"04302"
"15524","Car, truck, or van","Grade 9",10,45430,1500,"04302"
"15525","Car, truck, or van","Bachelor's degree",20,80000,680,"03304"
"15526","Car, truck, or van","Professional degree beyond a bachelor's degree",35,301100,4260,"01300"
"15527","Car, truck, or van","Professional degree beyond a bachelor's degree",30,301100,4260,"01300"
"15528","Car, truck, or van","Some college, but less than 1 year",25,44400,1400,"04901"
"15529","Subway or elevated","Bachelor's degree",45,129000,2300,"03303"
"15530","Subway or elevated","Doctorate degree",30,129000,2300,"03303"
"15531","Car, truck, or van","1 or more years of college credit, no degree",20,107950,1100,"04301"
"15532","Car, truck, or van","Regular high school diploma",25,107950,1100,"04301"
"15533","Car, truck, or van","Some college, but less than 1 year",20,132000,2000,"04902"
"15534","Car, truck, or van","Doctorate degree",8,279100,4000,"03305"
"15535","Car, truck, or van","Doctorate degree",10,279100,4000,"03305"
"15536","Walked","1 or more years of college credit, no degree",25,44490,400,"00506"
"15537","Bus or trolley bus","1 or more years of college credit, no degree",45,18600,440,"03301"
"15538","Car, truck, or van","Bachelor's degree",40,168700,1200,"01600"
"15539","Car, truck, or van","Associate's degree",15,186000,2010,"01902"
"15540","Car, truck, or van","1 or more years of college credit, no degree",10,186000,2010,"01902"
"15541","Car, truck, or van","Regular high school diploma",10,186000,2010,"01902"
"15542","Car, truck, or van","Associate's degree",20,75000,1800,"03603"
"15543","Car, truck, or van","Bachelor's degree",25,181300,2900,"00508"
"15544","Car, truck, or van","Bachelor's degree",30,181300,2900,"00508"
"15545","Car, truck, or van","1 or more years of college credit, no degree",45,29500,1400,"03301"
"15546","Car, truck, or van","Bachelor's degree",25,158000,3000,"00507"
"15547","Car, truck, or van","Associate's degree",70,349000,4300,"03900"
"15548","Car, truck, or van","Associate's degree",40,349000,4300,"03900"
"15549","Car, truck, or van","Regular high school diploma",30,47000,800,"04901"
"15550","Car, truck, or van","Regular high school diploma",10,47000,800,"04901"
"15551","Car, truck, or van","Master's degree",20,310000,2500,"01400"
"15552","Car, truck, or van","Regular high school diploma",35,134000,830,"03306"
"15553","Subway or elevated","1 or more years of college credit, no degree",90,134000,830,"03306"
"15554","Car, truck, or van","Bachelor's degree",30,134000,830,"03306"
"15555","Car, truck, or van","1 or more years of college credit, no degree",45,134000,830,"03306"
"15556","Car, truck, or van","1 or more years of college credit, no degree",90,75000,900,"04903"
"15557","Car, truck, or van","Associate's degree",20,86300,1200,"04800"
"15558","Car, truck, or van","Regular high school diploma",40,57200,1800,"00507"
"15559","Car, truck, or van","Regular high school diploma",60,57200,1800,"00507"
"15560","Car, truck, or van","Associate's degree",25,109000,1200,"00304"
"15561","Car, truck, or van","12th grade - no diploma",144,109000,1200,"00304"
"15562","Car, truck, or van","12th grade - no diploma",10,109000,1200,"00304"
"15563","Car, truck, or van","Master's degree",50,190000,2450,"04901"
"15564","Car, truck, or van","Associate's degree",60,212000,2300,"00504"
"15565","Car, truck, or van","Associate's degree",45,212000,2300,"00504"
"15566","Car, truck, or van","Grade 6",5,108800,1200,"00300"
"15567","Car, truck, or van","Regular high school diploma",30,108800,1200,"00300"
"15568","Car, truck, or van","Regular high school diploma",60,140300,2400,"02800"
"15569","Car, truck, or van","Regular high school diploma",40,140300,2400,"02800"
"15570","Car, truck, or van","1 or more years of college credit, no degree",75,204000,4100,"00501"
"15571","Car, truck, or van","Bachelor's degree",30,80000,530,"00503"
"15572","Car, truck, or van","1 or more years of college credit, no degree",15,42000,1200,"00300"
"15573","Car, truck, or van","Bachelor's degree",30,1e+05,750,"00302"
"15574","Car, truck, or van","Regular high school diploma",30,1e+05,750,"00302"
"15575","Car, truck, or van","Regular high school diploma",15,1e+05,750,"00302"
"15576","Car, truck, or van","Bachelor's degree",30,169000,2000,"03601"
"15577","Car, truck, or van","Regular high school diploma",45,114800,700,"03900"
"15578","Car, truck, or van","Some college, but less than 1 year",15,114800,700,"03900"
"15579","Car, truck, or van","Bachelor's degree",30,1e+05,900,"03302"
"15580","Car, truck, or van","Doctorate degree",50,214000,3800,"02800"
"15581","Car, truck, or van","Bachelor's degree",50,214000,3800,"02800"
"15582","Car, truck, or van","Regular high school diploma",15,161700,3700,"04800"
"15583","Car, truck, or van","Regular high school diploma",10,161700,3700,"04800"
"15584","Car, truck, or van","Bachelor's degree",15,161700,3700,"04800"
"15585","Car, truck, or van","Some college, but less than 1 year",10,161700,3700,"04800"
"15586","Walked","Master's degree",25,285000,2300,"00506"
"15587","Subway or elevated","Bachelor's degree",45,285000,2300,"00506"
"15588","Bus or trolley bus","Bachelor's degree",144,11000,980,"04200"
"15589","Car, truck, or van","12th grade - no diploma",10,80000,2200,"04901"
"15590","Car, truck, or van","1 or more years of college credit, no degree",10,80000,2200,"04901"
"15591","Car, truck, or van","Bachelor's degree",5,89500,1700,"03306"
"15592","Car, truck, or van","Regular high school diploma",30,89500,1700,"03306"
"15593","Car, truck, or van","1 or more years of college credit, no degree",5,89500,1700,"03306"
"15594","Car, truck, or van","Some college, but less than 1 year",20,89500,1700,"03306"
"15595","Car, truck, or van","Regular high school diploma",5,61000,1300,"03900"
"15596","Car, truck, or van","Regular high school diploma",1,102000,1200,"04800"
"15597","Car, truck, or van","Regular high school diploma",27,102000,1200,"04800"
"15598","Car, truck, or van","Bachelor's degree",40,86900,10,"03900"
"15599","Car, truck, or van","Some college, but less than 1 year",30,86900,10,"03900"
"15600","Car, truck, or van","1 or more years of college credit, no degree",30,86000,2100,"00100"
"15601","Car, truck, or van","Some college, but less than 1 year",3,86000,2100,"00100"
"15602","Car, truck, or van","Regular high school diploma",20,103300,1600,"04303"
"15603","Car, truck, or van","Regular high school diploma",144,103300,1600,"04303"
"15604","Car, truck, or van","Master's degree",15,168900,1600,"01901"
"15605","Car, truck, or van","Some college, but less than 1 year",45,168900,1600,"01901"
"15606","Car, truck, or van","1 or more years of college credit, no degree",75,83000,1500,"04800"
"15607","Car, truck, or van","1 or more years of college credit, no degree",5,83000,1500,"04800"
"15608","Car, truck, or van","Grade 8",5,19000,1000,"03302"
"15609","Car, truck, or van","1 or more years of college credit, no degree",5,58880,130,"00300"
"15610","Car, truck, or van","Professional degree beyond a bachelor's degree",20,165100,3500,"04700"
"15611","Car, truck, or van","Bachelor's degree",20,165100,3500,"04700"
"15612","Car, truck, or van","Regular high school diploma",45,49000,2000,"00504"
"15613","Car, truck, or van","Some college, but less than 1 year",10,49000,2000,"00504"
"15614","Car, truck, or van","1 or more years of college credit, no degree",15,61000,990,"03603"
"15615","Car, truck, or van","Some college, but less than 1 year",40,105000,1400,"04000"
"15616","Car, truck, or van","Regular high school diploma",60,105000,1400,"04000"
"15617","Car, truck, or van","Bachelor's degree",30,105000,1400,"04000"
"15618","Subway or elevated","Bachelor's degree",45,7000,2900,"03301"
"15619","Car, truck, or van","Regular high school diploma",55,106800,1500,"00301"
"15620","Car, truck, or van","Associate's degree",10,106800,1500,"00301"
"15621","Car, truck, or van","Bachelor's degree",15,124000,2400,"03603"
"15622","Car, truck, or van","Some college, but less than 1 year",15,124000,2400,"03603"
"15623","Subway or elevated","Regular high school diploma",60,124000,2400,"03603"
"15624","Car, truck, or van","1 or more years of college credit, no degree",30,80000,1900,"01000"
"15625","Car, truck, or van","Bachelor's degree",30,292200,3000,"01400"
"15626","Car, truck, or van","Bachelor's degree",30,292200,3000,"01400"
"15627","Car, truck, or van","Grade 10",30,292200,3000,"01400"
"15628","Car, truck, or van","1 or more years of college credit, no degree",30,292200,3000,"01400"
"15629","Car, truck, or van","Regular high school diploma",20,25000,1300,"00503"
"15630","Car, truck, or van","Doctorate degree",10,79300,1290,"00703"
"15631","Car, truck, or van","Bachelor's degree",20,205000,2200,"00508"
"15632","Car, truck, or van","Regular high school diploma",10,205000,2200,"00508"
"15633","Car, truck, or van","Master's degree",10,124000,1400,"01400"
"15634","Car, truck, or van","Regular high school diploma",20,124000,1400,"01400"
"15635","Car, truck, or van","Grade 11",10,124000,1400,"01400"
"15636","Car, truck, or van","Grade 10",10,124000,1400,"01400"
"15637","Car, truck, or van","Bachelor's degree",5,175000,1700,"00703"
"15638","Car, truck, or van","Bachelor's degree",5,175000,1700,"00703"
"15639","Car, truck, or van","Master's degree",15,22000,1200,"00300"
"15640","Car, truck, or van","1 or more years of college credit, no degree",20,188800,990,"04901"
"15641","Car, truck, or van","1 or more years of college credit, no degree",15,188800,990,"04901"
"15642","Car, truck, or van","Regular high school diploma",25,170000,200,"03305"
"15643","Car, truck, or van","Some college, but less than 1 year",20,170000,200,"03305"
"15644","Car, truck, or van","Bachelor's degree",25,170000,200,"03305"
"15645","Car, truck, or van","Master's degree",75,185000,3000,"01300"
"15646","Car, truck, or van","Master's degree",30,299000,3900,"01400"
"15647","Car, truck, or van","Bachelor's degree",15,299000,3900,"01400"
"15648","Car, truck, or van","Regular high school diploma",10,67450,400,"00200"
"15649","Car, truck, or van","Regular high school diploma",10,67450,400,"00200"
"15650","Car, truck, or van","Associate's degree",30,119800,1300,"01300"
"15651","Car, truck, or van","Regular high school diploma",10,119800,1300,"01300"
"15652","Car, truck, or van","Regular high school diploma",20,119800,1300,"01300"
"15653","Car, truck, or van","Bachelor's degree",40,2e+05,2000,"03602"
"15654","Car, truck, or van","Bachelor's degree",40,2e+05,2000,"03602"
"15655","Car, truck, or van","Bachelor's degree",100,88000,1400,"00704"
"15656","Bus or trolley bus","Bachelor's degree",45,88000,1400,"00704"
"15657","Car, truck, or van","Doctorate degree",15,43560,750,"00300"
"15658","Car, truck, or van","Bachelor's degree",11,105500,2000,"00303"
"15659","Car, truck, or van","Grade 11",15,105500,2000,"00303"
"15660","Car, truck, or van","Associate's degree",45,123000,1150,"00701"
"15661","Car, truck, or van","Regular high school diploma",15,123000,1150,"00701"
"15662","Car, truck, or van","Regular high school diploma",35,90000,5700,"00701"
"15663","Car, truck, or van","Some college, but less than 1 year",25,97600,1400,"00200"
"15664","Car, truck, or van","Bachelor's degree",45,97600,1400,"00200"
"15665","Car, truck, or van","Regular high school diploma",60,129000,550,"00200"
"15666","Car, truck, or van","Master's degree",30,129000,550,"00200"
"15667","Car, truck, or van","Regular high school diploma",45,96300,500,"02400"
"15668","Car, truck, or van","Regular high school diploma",45,96300,500,"02400"
"15669","Car, truck, or van","Grade 10",30,96300,500,"02400"
"15670","Car, truck, or van","1 or more years of college credit, no degree",15,75300,1300,"00100"
"15671","Car, truck, or van","Bachelor's degree",30,267500,1100,"01300"
"15672","Car, truck, or van","Bachelor's degree",30,267500,1100,"01300"
"15673","Car, truck, or van","Professional degree beyond a bachelor's degree",90,217000,3400,"03500"
"15674","Car, truck, or van","Master's degree",45,217000,3400,"03500"
"15675","Car, truck, or van","Professional degree beyond a bachelor's degree",55,163000,2400,"03602"
"15676","Car, truck, or van","Bachelor's degree",35,58800,980,"00200"
"15677","Car, truck, or van","Bachelor's degree",25,58800,980,"00200"
"15678","Walked","Bachelor's degree",8,70000,850,"04500"
"15679","Car, truck, or van","Bachelor's degree",15,70000,850,"04500"
"15680","Car, truck, or van","Regular high school diploma",10,32730,60,"00200"
"15681","Car, truck, or van","Bachelor's degree",20,190700,2950,"03305"
"15682","Bus or trolley bus","Bachelor's degree",20,100380,3000,"03305"
"15683","Car, truck, or van","Regular high school diploma",10,100380,3000,"03305"
"15684","Subway or elevated","Bachelor's degree",40,100380,3000,"03305"
"15685","Car, truck, or van","Master's degree",20,125000,1200,"01600"
"15686","Car, truck, or van","Regular high school diploma",15,125000,1200,"01600"
"15687","Car, truck, or van","Professional degree beyond a bachelor's degree",20,1013130,2100,"03603"
"15688","Car, truck, or van","Master's degree",10,1013130,2100,"03603"
"15689","Bicycle","Associate's degree",15,15000,1000,"03303"
"15690","Walked","1 or more years of college credit, no degree",15,647900,2700,"00303"
"15691","Subway or elevated","Bachelor's degree",30,647900,2700,"00303"
"15692","Car, truck, or van","1 or more years of college credit, no degree",30,647900,2700,"00303"
"15693","Walked","1 or more years of college credit, no degree",5,647900,2700,"00303"
